page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1,com.ggww.autodraw,AutoDraw-4.0.1.apk,Done,https://apkcombo.com/autodraw/com.ggww.autodraw/download/apk,"android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.INTERNET
android.permission.WRITE_EXTERNAL_STORAGE"
1,com.vblast.flipaclip,FlipaClip-3.3.5.apk,Done,https://apkcombo.com/flipaclip/com.vblast.flipaclip/download/apk,"android.permission.ACCESS_NETWORK_STATE
android.permission.INTERNET
android.permission.VIBRATE
android.permission.FOREGROUND_SERVICE
android.permission.WAKE_LOCK
android.permission.ACCESS_WIFI_STATE
com.vblast.flipaclip.UNLOCKER
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.RECORD_AUDIO
android.permission.GET_ACCOUNTS
android.permission.USE_CREDENTIALS
com.google.android.googleapps.permission.GOOGLE_AUTH
com.google.android.googleapps.permission.GOOGLE_AUTH.youtube
com.android.vending.BILLING
android.permission.POST_NOTIFICATIONS
com.google.android.c2dm.permission.RECEIVE
com.google.android.gms.permission.AD_ID
com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.RECEIVE_BOOT_COMPLETED
com.vblast.flipaclip.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION"
1,com.sonymobile.sketch,Sketch-9.0.T.0.6.apk,Done,https://apkcombo.com/sketch/com.sonymobile.sketch/download/apk,"android.permission.WRITE_EXTERNAL_STORAGE
android.permission.SET_WALLPAPER
android.permission.BROADCAST_STICKY
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.GET_ACCOUNTS
com.android.vending.BILLING
android.permission.VIBRATE
android.permission.FOREGROUND_SERVICE
android.permission.READ_PHONE_STATE
com.google.android.c2dm.permission.RECEIVE
com.sony.snei.np.android.account.provider.permission.DUID_READ_PROVIDER
com.sony.snei.np.android.account.permission.ACCOUNT_BROADCAST
android.permission.WAKE_LOCK
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"
1,com.huion.inkpaint,Huion-Sketch-V3.4.3.apk,Done,https://apkcombo.com/huion-sketch/com.huion.inkpaint/download/apk,"android.hardware.usb.host
android.hardware.usb.accessory
android.permission.REORDER_TASKS
android.permission.REQUEST_INSTALL_PACKAGES
android.permission.VIBRATE
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.WRITE_MEDIA_STORAGE
android.permission.READ_MEDIA_IMAGES
android.permission.SYSTEM_ALERT_WINDOW
android.permission.SYSTEM_OVERLAY_WINDOW
android.permission.CHANGE_NETWORK_STATE
android.permission.CHANGE_WIFI_STATE
com.oplus.ipemanager.permission.receiver.DOUBLE_CLICK
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.READ_PHONE_STATE
android.permission.INTERNET
android.permission.PACKAGE_USAGE_STATS
android.permission.FOREGROUND_SERVICE
com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA"
1,com.adsk.sketchbook,Sketchbook-5.3.1.apk,Done,https://apkcombo.com/sketchbook/com.adsk.sketchbook/download/apk,"android.permission.CAMERA
android.hardware.camera.autofocus
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.MOUNT_UNMOUNT_FILESYSTEMS
android.permission.ACCESS_NETWORK_STATE
android.permission.INTERNET
android.permission.MANAGE_DOCUMENTS
android.permission.READ_EXTERNAL_STORAGE"
1,com.womboai.wombodream,WOMBO-Dream---AI-Art-Generator-3.0.7.apk,Done,https://apkcombo.com/wombo-dream-ai-art-generator/com.womboai.wombodream/download/apk,"android.permission.SET_WALLPAPER
android.permission.INTERNET
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.ACCESS_NETWORK_STATE
android.permission.VIBRATE
android.permission.READ_MEDIA_IMAGES
android.permission.POST_NOTIFICATIONS
com.google.android.gms.permission.AD_ID
com.womboai.wombodream.permission.C2D_MESSAGE
com.google.android.c2dm.permission.RECEIVE
android.permission.WAKE_LOCK
android.permission.RECEIVE_BOOT_COMPLETED
com.sec.android.provider.badge.permission.READ
com.sec.android.provider.badge.permission.WRITE
com.htc.launcher.permission.READ_SETTINGS
com.htc.launcher.permission.UPDATE_SHORTCUT
com.sonyericsson.home.permission.BROADCAST_BADGE
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
com.anddoes.launcher.permission.UPDATE_COUNT
com.majeur.launcher.permission.UPDATE_BADGE
com.huawei.android.launcher.permission.CHANGE_BADGE
com.huawei.android.launcher.permission.READ_SETTINGS
com.huawei.android.launcher.permission.WRITE_SETTINGS
android.permission.READ_APP_BADGE
com.oppo.launcher.permission.READ_SETTINGS
com.oppo.launcher.permission.WRITE_SETTINGS
me.everything.badger.permission.BADGE_COUNT_READ
me.everything.badger.permission.BADGE_COUNT_WRITE
android.permission.ACCESS_WIFI_STATE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE
android.permission.FOREGROUND_SERVICE
com.womboai.wombodream.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
android.permission.REORDER_TASKS
com.android.vending.BILLING"
1,com.brakefield.painter,Infinite-Painter-7.0.16.apk,Done,https://apkcombo.com/infinite-painter/com.brakefield.painter/download/apk,"android.permission.ACCESS_NETWORK_STATE
android.permission.INTERNET
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.BLUETOOTH
android.permission.BLUETOOTH_ADMIN
android.permission.BLUETOOTH_SCAN
android.permission.BLUETOOTH_CONNECT
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.WAKE_LOCK
com.google.android.gms.permission.AD_ID
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.android.vending.BILLING
android.permission.FOREGROUND_SERVICE"
1,com.eyewind.paperone,PaperDraw-2.5.5.apk,Done,https://apkcombo.com/paperdraw/com.eyewind.paperone/download/apk,"android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.CAMERA
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.INTERNET
com.android.vending.BILLING
android.permission.VIBRATE
android.permission.READ_MEDIA_IMAGES
android.permission.WAKE_LOCK
com.google.android.gms.permission.AD_ID
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"
1,com.madcat.easyposer,Easy-Pose-1.5.63.apk,Done,https://apkcombo.com/easypose/com.madcat.easyposer/download/apk,"android.permission.ACCESS_NETWORK_STATE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.GET_ACCOUNTS
android.permission.INTERNET
com.google.android.gms.permission.AD_ID
android.permission.WAKE_LOCK
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.FOREGROUND_SERVICE
com.android.vending.BILLING
android.permission.READ_EXTERNAL_STORAGE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"
1,me.bazaart.app,Bazaart-1.4.2.apk,Done,https://apkcombo.com/bazaart/me.bazaart.app/download/apk,"android.permission.INTERNET
android.permission.VIBRATE
android.permission.ACCESS_NETWORK_STATE
android.permission.WRITE_EXTERNAL_STORAGE
com.android.vending.BILLING
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.FOREGROUND_SERVICE"
