page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1.0,de.locanto.app,Locanto-2.7.17.apk,Done,https://apkcombo.com/locanto/de.locanto.app/download/apk,
1.0,com.amazon.mShop.android.shopping,Amazon-Shopping-26.12.0.100.apk,Done,https://apkcombo.com/amazon-shopping/com.amazon.mShop.android.shopping/download/apk,
1.0,com.offerup,OfferUp-4.82.1.apk,Done,https://apkcombo.com/offerup/com.offerup/download/apk,
1.0,com.zzkko,SHEIN-9.2.8.apk,Done,https://apkcombo.com/shein/com.zzkko/download/apk,
1.0,com.tippingcanoe.promodescuentos,PromoDescuentos--ofertas-6.18.02.apk,Done,https://apkcombo.com/promodescuentos/com.tippingcanoe.promodescuentos/download/apk,
1.0,com.walmart.android,Walmart-23.22.apk,Done,https://apkcombo.com/walmart/com.walmart.android/download/apk,
1.0,com.alibaba.aliexpresshd,AliExpress-8.73.5.apk,Done,https://apkcombo.com/aliexpress/com.alibaba.aliexpresshd/download/apk,
1.0,com.radwell.ecommerce,Radwell-International-1.001.0032.apk,Done,https://apkcombo.com/radwell-international/com.radwell.ecommerce/download/apk,
1.0,com.petsmart.consumermobile,PetSmart-5.21.0.apk,Done,https://apkcombo.com/petsmart/com.petsmart.consumermobile/download/apk,
1.0,com.slidejoy,Slidejoy-5.4.5.apk,Done,https://apkcombo.com/slidejoy/com.slidejoy/download/apk,
